movieId,title,genres,predicted_rating
2384,Babe: Pig in the City (1998),Adventure|Children|Drama,5.0
49272,Casino Royale (2006),Action|Adventure|Thriller,5.0
307,Three Colors: Blue (Trois couleurs: Bleu) (1993),Drama,5.0
91529,"Dark Knight Rises, The (2012)",Action|Adventure|Crime|IMAX,5.0
671,Mystery Science Theater 3000: The Movie (1996),Comedy|Sci-Fi,5.0
8970,Finding Neverland (2004),Drama,5.0
3087,Scrooged (1988),Comedy|Fantasy|Romance,5.0
91658,"Girl with the Dragon Tattoo, The (2011)",Drama|Thriller,5.0
8972,National Treasure (2004),Action|Adventure|Drama|Mystery|Thriller,5.0
92259,Intouchables (2011),Comedy|Drama,5.0
