userId,movieId,rating,timestamp,rating_datetime,title,genres
1,1,4.0,964982703,2000-07-30 18:45:03,Toy Story (1995),Adventure|Animation|Children|Comedy|Fantasy
1,3,4.0,964981247,2000-07-30 18:20:47,Grumpier Old Men (1995),Comedy|Romance
1,6,4.0,964982224,2000-07-30 18:37:04,Heat (1995),Action|Crime|Thriller
1,47,5.0,964983815,2000-07-30 19:03:35,Seven (a.k.a. Se7en) (1995),Mystery|Thriller
1,50,5.0,964982931,2000-07-30 18:48:51,"Usual Suspects, The (1995)",Crime|Mystery|Thriller
1,70,3.0,964982400,2000-07-30 18:40:00,From Dusk Till Dawn (1996),Action|Comedy|Horror|Thriller
1,101,5.0,964980868,2000-07-30 18:14:28,Bottle Rocket (1996),Adventure|Comedy|Crime|Romance
1,110,4.0,964982176,2000-07-30 18:36:16,Braveheart (1995),Action|Drama|War
1,151,5.0,964984041,2000-07-30 19:07:21,Rob Roy (1995),Action|Drama|Romance|War
1,157,5.0,964984100,2000-07-30 19:08:20,Canadian Bacon (1995),Comedy|War
1,163,5.0,964983650,2000-07-30 19:00:50,Desperado (1995),Action|Romance|Western
1,216,5.0,964981208,2000-07-30 18:20:08,Billy Madison (1995),Comedy
1,223,3.0,964980985,2000-07-30 18:16:25,Clerks (1994),Comedy
1,231,5.0,964981179,2000-07-30 18:19:39,Dumb & Dumber (Dumb and Dumber) (1994),Adventure|Comedy
1,235,4.0,964980908,2000-07-30 18:15:08,Ed Wood (1994),Comedy|Drama
1,260,5.0,964981680,2000-07-30 18:28:00,Star Wars: Episode IV - A New Hope (1977),Action|Adventure|Sci-Fi
1,296,3.0,964982967,2000-07-30 18:49:27,Pulp Fiction (1994),Comedy|Crime|Drama|Thriller
1,316,3.0,964982310,2000-07-30 18:38:30,Stargate (1994),Action|Adventure|Sci-Fi
1,333,5.0,964981179,2000-07-30 18:19:39,Tommy Boy (1995),Comedy
1,349,4.0,964982563,2000-07-30 18:42:43,Clear and Present Danger (1994),Action|Crime|Drama|Thriller
1,356,4.0,964980962,2000-07-30 18:16:02,Forrest Gump (1994),Comedy|Drama|Romance|War
1,362,5.0,964982588,2000-07-30 18:43:08,"Jungle Book, The (1994)",Adventure|Children|Romance
1,367,4.0,964981710,2000-07-30 18:28:30,"Mask, The (1994)",Action|Comedy|Crime|Fantasy
